artist,monthly_listeners
The Weeknd,109.2
Miley Cyrus,80.9
Rihanna,80.8
Shakira,80.6
Taylor Swift,80.3
Ed Sheeran,77.5
Ariana Grande,76.9
Justin Bieber,72.3
David Guetta,72.1
SZA,69.6
Eminem,68.6
Drake,68.6
Sam Smith,67.8
Harry Styles,66.0
Bad Bunny,63.9
Calvin Harris,62.2
Dua Lipa,62.0
Coldplay,61.8
21 Savage,61.2
Imagine Dragons,59.5
Bruno Mars,59.0
Lady Gaga,57.5
Selena Gomez,56.9
Maroon 5,55.7
Chris Brown,54.3
KAROL G,54.2
Metro Boomin,53.9
Kanye West,53.2
Beyoncé,52.5
Post Malone,52.2
Doja Cat,52.1
Khalid,52.0
Katy Perry,51.6
Billie Eilish,51.4
Bizarrap,50.7
Adele,50.7
J Balvin,50.6
Daddy Yankee,50.1
Bebe Rexha,49.4
OneRepublic,48.6
Ozuna,48.1
Marshmello,47.6
Elton John,47.5
Future,46.9
Nicki Minaj,46.6
Sia,46.1
Tiësto,45.9
Shawn Mendes,45.3
Halsey,45.3
Travis Scott,44.7
Queen,43.9
Kendrick Lamar,43.6
Rauw Alejandro,42.0
Arctic Monkeys,41.7
The Kid LAROI,41.7
Lana Del Rey,40.9
Black Eyed Peas,40.4
Camila Cabello,40.1
Kim Petras,40.0
Rema,38.5
PinkPantheress,38.3
Feid,37.8
One Direction,37.6
Lil Nas X,37.3
Gorillaz,37.3
Charlie Puth,37.3
BTS,37.2
Lil Uzi Vert,37.1
JAY-Z,37.0
Ice Spice,36.3
Manuel Turizo,36.1
ROSALÍA,36.1
XXXTENTACION,36.0
P!NK,36.0
Olivia Rodrigo,35.7
Meghan Trainor,35.7
J. Cole,35.2
RAYE,35.2
Michael Jackson,35.1
Quevedo,34.8
Ellie Goulding,34.8
Farruko,34.5
Avicii,34.5
Maluma,34.1
James Arthur,34.1
Miguel,34.1
The Chainsmokers,33.9
Stephen Sanchez,33.9
Robin Schulz,33.8
Linkin Park,33.5
Oliver Tree,33.5
Jason Derulo,33.0
Pitbull,32.9
Britney Spears,32.2
The Neighbourhood,32.2
Lewis Capaldi,32.1
Myke Towers,31.8
d4vd,31.6
Tate McRae,31.5
Juice WRLD,31.4
